>>Per sequence GC content	warn
#GC Content	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	1
8	1
9	1
10	1
11	1
12	3
13	3
14	3
15	4
16	6
17	4
18	2
19	3
20	3
21	2
22	1
23	2
24	3
25	4
26	6
27	9
28	10
29	9
30	11
31	20
32	19
33	15
34	22
35	29
36	33
37	36
38	40
39	48
40	60
41	70
42	81
43	95
44	108
45	118
46	123
47	153
48	180
49	209
50	232
51	239
52	247
53	248
54	242
55	224
56	214
57	190
58	164
59	136
60	116
61	97
62	71
63	57
64	44
65	29
66	22
67	16
68	10
69	7
70	2
71	1
72	2
73	2
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
