>>Per Base GC content	warn
Base	GC
1	49.1274
2	49.1752
3	48.0277
4	49.7729
5	49.0079
6	49.5099
7	49.8924
8	49.0079
9	49.7251
10	49.749
11	50.0598
12	52.2113
13	50.0837
14	51.1355
15	50.9204
16	50.2749
17	51.0399
18	52.2591
19	49.8685
20	52.4265
21	50.8965
22	50.6096
23	50.8009
24	51.4941
25	49.6534
26	49.7251
27	50.3466
28	49.9163
29	50.7052
30	50.9682
31	50.2271
32	49.4621
33	52.0201
34	49.5099
35	50.3705
36	51.6854
37	49.8924
38	49.8446
39	50.4423
40	50.251
41	49.8685
42	49.3187
43	49.2948
44	49.2709
45	50.2032
46	49.8685
47	50.5379
48	50.2032
49	49.7251
50	51.2073
51	49.0796
52	49.5099
53	49.0796
54	50.5618
55	50.251
56	49.5338
57	50.2271
58	50.4901
59	50.753
60	50.0837
61	50.4662
62	48.8405
63	50.3227
64	50.0598
65	50.5857
66	51.5659
67	50.2988
68	49.988
69	49.5099
70	49.9163
71	49.9163
72	49.7251
73	48.6015
74	49.8924
75	50.6335
76	48.3624
77	48.9362
78	48.9362
79	50.0359
80	51.7332
81	51.3029
82	49.6534
83	49.6055
84	48.7688
85	49.9641
86	51.2073
87	49.8207
88	50.2032
89	50.8726
90	50.0359
91	51.2073
92	49.9163
93	50.8248
94	50.8248
95	50.9443
96	50.6813
97	51.3029
98	50.1554
99	51.6376
100	49.749

