id	Completed	Last page seen	Start language		[C]   What experience do you have with C, C++, C# and Java?	[C++]   What experience do you have with C, C++, C# and Java?	[C#]   What experience do you have with C, C++, C# and Java?	[Java]   What experience do you have with C, C++, C# and Java?			Besides SeqAn what other applications / libraries do you use?	To what extend did you already work with SeqAn before the workshop?	[Whole installation process]   How difficult was the installation of SeqAn?  The installation includes downloading the sources, the CMake call(s) and the first run of your chosen IDE.	[Download of the source code]   How difficult was the installation of SeqAn?  The installation includes downloading the sources, the CMake call(s) and the first run of your chosen IDE.	[CMake call(s)]   How difficult was the installation of SeqAn?  The installation includes downloading the sources, the CMake call(s) and the first run of your chosen IDE.	[Chosen IDE (z.B. make, Visual Studio, Eclipse, Xcode)]   How difficult was the installation of SeqAn?  The installation includes downloading the sources, the CMake call(s) and the first run of your chosen IDE.	What did you particulary like in the installation process?	What did you particularly dislike in the installation process?	[Standard Template Library (STL) and template programming]     SeqAn heavily relies on the following four C++ / SeqAn techniques.    How good was your understanding and ability to correctly use each technique before the workshop?	[Metafunctions]     SeqAn heavily relies on the following four C++ / SeqAn techniques.    How good was your understanding and ability to correctly use each technique before the workshop?	[Template subclassing]     SeqAn heavily relies on the following four C++ / SeqAn techniques.    How good was your understanding and ability to correctly use each technique before the workshop?	[Global function interface]     SeqAn heavily relies on the following four C++ / SeqAn techniques.    How good was your understanding and ability to correctly use each technique before the workshop?	[Standard Template Library (STL) and template programming]     How good is your understanding and ability to correctly use each technique now that you have absolved the workshop?	[Metafunctions]     How good is your understanding and ability to correctly use each technique now that you have absolved the workshop?	[Template subclassing]     How good is your understanding and ability to correctly use each technique now that you have absolved the workshop?	[Global function interface]     How good is your understanding and ability to correctly use each technique now that you have absolved the workshop?	[Basics] Which of the following tutorials did you work on during the workshop?	[Sequences & Iterators] Which of the following tutorials did you work on during the workshop?	[Input/Output and Writing Parsers] Which of the following tutorials did you work on during the workshop?	[RNA-Seq, FragmentStore] Which of the following tutorials did you work on during the workshop?	[Alignment, MSA] Which of the following tutorials did you work on during the workshop?	[FragmentStore - Genome, Annotations] Which of the following tutorials did you work on during the workshop?	[Indices] Which of the following tutorials did you work on during the workshop?	[Bowtie] Which of the following tutorials did you work on during the workshop?	[JournalSet] Which of the following tutorials did you work on during the workshop?	[Workflows in KNIME] Which of the following tutorials did you work on during the workshop?	[App Session 1 - RazerS3, Stellar, SplazerS, Masai] Which of the following tutorials did you work on during the workshop?	[App Session 2 - Mason, Rabema, SAK] Which of the following tutorials did you work on during the workshop?	[App Session 4 - New Argument Parser] Which of the following tutorials did you work on during the workshop?		[Basics] Which of the following tutorials did you work on during the workshop?	[Sequences & Iterators]	[Input/Output and Writing Parsers]	[RNA-Seq, FragmentStore]	[Alignment, MSA]	[FragmentStore - Genome, Annotations]	[Indices]	[Bowtie]	[JournalSet]	[Workflows in KNIME]	[App Session 1 - RazerS3, Stellar, SplazerS, Masai]	[App Session 2 - Mason, Rabema, SAK]	[App Session 4 - New Argument Parser]	[Basics] What was your motivation to do this tutorial? How helpful was the tutorial for you?	[Sequences & Iterators]	[Input/Output and Writing Parsers]	[RNA-Seq, FragmentStore]	[Alignment, MSA]	[FragmentStore - Genome, Annotations]	[Indices]	[Bowtie]	[JournalSet]	[Workflows in KNIME]	[App Session 1 - RazerS3, Stellar, SplazerS, Masai]	[App Session 2 - Mason, Rabema, SAK]	[App Session 4 - New Argument Parser]	[App Session 4 - New Argument Parser]	[Sequences & Iterators]	[Input/Output and Writing Parsers]	[RNA-Seq, FragmentStore]	[Alignment, MSA]	[FragmentStore - Genome, Annotations]	[Indices]	[Bowtie]	[JournalSet]	[Workflows in KNIME]	[App Session 1 - RazerS3, Stellar, SplazerS, Masai]	[App Session 2 - Mason, Rabema, SAK]	[App Session 4 - New Argument Parser]	[Basics] Do you think that the documentation web pages (www.seqan.de and trac.seqan.de) were helpful to solve the exercises of the tutorial?	[Sequences & Iterators]	[Input/Output and Writing Parsers]	[RNA-Seq, FragmentStore]	[Alignment, MSA]	[FragmentStore - Genome, Annotations]	[Indices]	[Bowtie]	[JournalSet]	[Workflows in KNIME]	[App Session 1 - RazerS3, Stellar, SplazerS, Masai]	[App Session 2 - Mason, Rabema, SAK]	[App Session 4 - New Argument Parser]	[Basics] What did you particulary like about this tutorial?	[Sequences & Iterators]	[Input/Output and Writing Parsers]	[RNA-Seq, FragmentStore]	[Alignment, MSA]	[FragmentStore - Genome, Annotations]	[Indices]	[Bowtie]	[JournalSet]	[Workflows in KNIME]	[App Session 1 - RazerS3, Stellar, SplazerS, Masai]	[App Session 2 - Mason, Rabema, SAK]	[App Session 4 - New Argument Parser]	[Basics] What did you particulary dislike about this tutorial? What posed the biggest problems?	[Sequences & Iterators]	[Input/Output and Writing Parsers]	[RNA-Seq, FragmentStore]	[Alignment, MSA]	[FragmentStore - Genome, Annotations]	[Indices]	[Bowtie]	[JournalSet]	[Workflows in KNIME]	[App Session 1 - RazerS3, Stellar, SplazerS, Masai]	[App Session 2 - Mason, Rabema, SAK]	[App Session 4 - New Argument Parser]	What did you particularly like in the installation process?	What did you particularly dislike in the installation process?	What did you particulary like about SeqAn?	What did you particulary dislike about SeqAn?	How would you rate the workshop altogether?	How would you rate the organisation of the workshop?	How helpful was the assistance by the SeqAn staff?	What do you think about the duration of the workshop?	How would you rate the pure online tutorials (not their integration in the workshop)?	Why did you attend to this workshop?	Why did you attend to this workshop? - Other	Did the workshop meet your expectations?	What functionality of SeqAn are you using? What functionality do you miss?	What is / would be your preferred way to develop with SeqAn?	What is / would be your preferred way to develop with SeqAn? - Other	Will you use SeqAn in the future?	[Comment] Will you use SeqAn in the future?	What do / did you study?	What is your currently highest degree?					
1004				Advanced: average experience	Expert: regular and correct use of language specific paradigms	Advanced: average experience	No experience	Expert: regular and correct use of language specific paradigms	Yes		Bioconductor, R, multiple Java libraries	I develop my own software by using SeqAn as a library.	Average	Easy	Easy				Ordinary experience	Basic skills, few experience	Basic skills, few experience						FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 																															 	 	 	 		 	 			 	 	 								
2ur8t8dx88n4v6ef				Beginner: few experience	Beginner: few experience	Expert: regular and correct use of language specific paradigms	No experience	No experience	No	Noch in der try+error-Phase	BioPython, pysam, read mappers/simulators	I use SeqAn apps / command line programs.	Easy	Easy	Easy	Easy			Much experience	Basic skills, few experience	Ordinary experience						FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	4	 	 	Basic skills, few experience	 	 	No experience	Ordinary experience	Ordinary experience	 	 	 	 	 	 	 	Thema nützlich für meine eigenen Projekte. Hat gute Übersicht gegeben.	 	 	None, just curious	War zu dem Zeitpunkt das interessanteste Tutorial. Tutorial war ser informativ und hat viel Spaß gemacht.	Cool idea, very helpful to see how to develop a whole tool in SeqAn	 	 	 	 	 	 	 	Yes, with slightly to no more additional time	 	 	No	Yes, but only with a significant amount of more time	No	 	 	 	 	 	 	 	Above average	 	 	Above average	Above average	Above average	 	 	 	 	 			Am Beispiel erklärt > praxisnah				Indices sind  schön unkompliziert zu benutzen, das würde gut rübergebracht.	Nice idea, seems to work								Ich habe nicht das Gefühl. einen umfasenden Überblick über die globalen Funktionen zum IO zu haben.				Der qgram-Index ist SEHR konfus... Die Idee dahintr ist nicht wirklich klar geworden.							It worked! even on Windows with VS		It is rapidly getting better and easier to program	Non-STL style	Good	Good	Averagely helpful	Good	Good	Other	I could imagine that SeqAn can speed up my project.	I would have liked a little bit more detail on how your tools (RazerS, Mason) work under the hood	Nothing, yet	Both	 	 	Depends on how much time I have	Physics	Diplom		Visual Studio 10	Visual Studio 10	Windows	Windows XP
2vxgsg6iojmn3v52				Advanced: average experience	No experience	Beginner: few experience	No experience	Beginner: few experience	No	Tried it once didn’t get it setup		I know something about SeqAn but hardly worked with it.	Difficult	Very easy	Difficult	Difficult		Website wenig hilfreich	Basic skills, few experience	Basic skills, few experience	Basic skills, few experience						TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	8	No experience	Basic skills, few experience	Basic skills, few experience	 	 	Basic skills, few experience	 	 	 	Ordinary experience	Basic skills, few experience	No experience	No experience	Get the basic idea, very helpful	Learn the Basics of SeqAn, quite helpful	 	 	 	 	 	 	 	Experience with Accelrys’ Pipeline Pilot, wanted to get the idea if it is similar/comparabe	Usage of Masai	Learn about Mason, very useful for my work	 	No	Yes, but only with a significant amount of more time	Yes, but only with a significant amount of more time	 	 	Yes, but only with a significant amount of more time	 	 	 	Yes, with slightly to no more additional time	Yes, but only with a significant amount of more time	Yes, but only with a significant amount of more time	Yes, but only with a significant amount of more time	Extraordinary	Average	Above average	 	 	Extraordinary	 	 	 	Hardly	Average	Above average	Above average										Good light presentation					Too fast, unstructured tutorial on the web page.																 	 	 	 		 	 			 	 	 		Biotechnology	Dr.		Xcode	Xcode	Mac OS	Mac OS 11.4.0
7i0p2gnbxpw7gofj				Expert: regular and correct use of language specific paradigms	Expert: regular and correct use of language specific paradigms	Expert: regular and correct use of language specific paradigms	No experience	No experience	No	Just heard about it recently	ALLPATHS -LB	I never worked with SeqAn.	Very easy	Very easy	Very easy	Very easy			Basic skills, few experience	Basic skills, few experience	Much experience						TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	6	Basic skills, few experience	No experience	Basic skills, few experience	No experience	 	 	 	 	 	No experience	 	 	 	Good to know SeqAn, the tutorial was helpful.	Iterators / Strings	I/O	 	Learning how to use alignment within SeqAn	Interesting in understanding these techniques.	 	 	 	Learn about KNIME	 	 	 	Yes, with slightly to no more additional time	Yes, with slightly to no more additional time	Yes, with slightly to no more additional time	 	Yes, with slightly to no more additional time	Yes, with slightly to no more additional time	 	 	 	 	 	 	 	Above average	Average	Above average	 	Above average	Above average	 	 	 	 	 	 	 	I thought the basics was pretty well described.		Very clear		I like the live coding					Interesting demo					I’m noticing that of the constructs are different from what is common in the STL. This might be justified but it makes it *much* harder to learn. I guess the reason is that you want to have template functions (as in assignValue(...)) rather than methos (string.push_back). Still, it slows learning. It’ like learning a new language. It also makes it harder to read for users who are not familiar with SeqAn. Also, some operators seem to be overloaded, others are not and it’s not clear whch ones and why.			Default values for alphabets should be errors. I mean, if a letter doesn’t belong to the alphabet it should not be automaitcally converted to a default value, it should abort like taking ‘sqrt(-1)’. Otherwise, user might think he/she has a valid sequence and get wrong results.	There are 2 kinds of goNext() and the documentation is different (one for serial iterators and another for tree iterators) a bit confusing but ok.												 	 	 	 		 	 			 	 	 		Informatik	Promotion		Unix Makefiles	Unix Makefiles	Mac OS	Mac OS 11.4.0
74sudqshs06shyg7				Expert: regular and correct use of language specific paradigms	Expert: regular and correct use of language specific paradigms	Advanced: average experience	No experience	Beginner: few experience	No		None. I usually write my own.	I never worked with SeqAn.	Very easy	Very easy	Very easy	Very easy			Unknown technique	Unknown technique	Unknown technique						TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	6	No experience	No experience	No experience	 	No experience	 	No experience	 	 	No experience	 	 	 	Because I don’t [know] anything about SeqAn.	To learn about SeqAn	 	 	Learn	 	Learn	 	 	Learn!	 	 	 	Yes, but only with a significant amount of more time	Yes, but only with a significant amount of more time	Yes, with slightly to no more additional time	 	Yes, with slightly to no more additional time	 	Yes, but only with a significant amount of more time	 	 	Yes, with slightly to no more additional time	 	 	 	Extraordinary	Above average	Above average	 	Extraordinary	 	Above average	 	 	Above average	 	 	 	It’s easy and it begins from the basics. I liked the tutorial.	StringSets			Programming					Making workflows!								It needs an alphabet checker so it can reort strange characters, instead of transforming them in a default character etc.		You canno searcha sequence for consensus patterns (multiple patterns at the same time)							The installation		It’s very powerful and can be useful for a lot of things.		Very good	Very good	Extraordinarily helpful	Good	Good	I was just curious	 	Definitely!		As a library (include SeqAn headers in own program)	 	Yes		Bioinformatics	Master		Unix Makefiles	Unix Makefiles	Linux	Linux 3.2.0
hu8y22yeakh5sl7k				Expert: regular and correct use of language specific paradigms	No experience	Beginner: few experience	No experience	Expert: regular and correct use of language specific paradigms	No	Java Programmer	Python-Libs, jars	I use SeqAn apps / command line programs.	Very easy	Easy	Average	Average		Tutorial had a few minor errors	Ordinary experience	Basic skills, few experience	Basic skills, few experience						FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	4	 	 	Basic skills, few experience	 	 	 	No experience	No experience	 	No experience	 	 	 		 	(1) Necessary basic stuff for sequence analysis, helpful to know how possible in SeqAn (2) Tutorial was very helpful	 		Get to know the concepts	Basic stuff used in a lot of methods -> good to know more details	Interesting topic, nice to see now a “real” app can be implemented	 	Pretty sure to use KNIME in the future	 	 	 	 	 	Yes, with slightly to no more additional time	 		Yes, with slightly to no more additional time	Yes, but only with a significant amount of more time	 	 	No	 	 	 	 	 	Above average	 	 	Hardly	Hardly	 	 	Hardly	 	 	 			Good structure, easy to follow, nice step by step intro			Good complexity level of assignments, good presentation	nice assignments + good (detailed) presentation	cool, worte own mapper!, good explanations!		Ongoing example, impressive what is possible so easily										docu not very helpful	more hints would be nice	minor point: sometimes both presenters were not sure who should do the next part									 	 	 	 		 	 			 	 	 		bioinformatics	master		Eclipse CDT4	Unix Makefiles	Linux	Linux 3.2.0
ijxljx4ielej459b				Advanced: average experience	Beginner: few experience	Beginner: few experience	No experience	No experience	No	I am a beginner but want to learn about SeqAn so I can use it in the future easily.	Bioperl, Bioank	I never worked with SeqAn.	Very easy	Very easy	Very easy	Very easy			Unknown technique	Unknown technique	Unknown technique						TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2	No experience	 	 	 	 	No experience	 	 	 	 	 	 	 	To get familiar wit SeqAn. It was really helpful for me to know some basics.	 	 	 	 	 	 	 	 	 	 	 	 	No	 	 	 	 	 	 	 	 	 	 	 	 	Above average	 	 	 	 	 	 	 	 	 	 	 	 	Documentation, Presentation and help from SeqAn team.																														 	 	 	 		 	 			 	 	 		Computer Science	PhD		Visual Studio 10	Visual Studio 10	Windows	Windows 7
j3dlv0pk16e145g4				Expert: regular and correct use of language specific paradigms	Beginner: few experience	Advanced: average experience	No experience	Advanced: average experience	No	Not fitting my use cases	BioPython	I develop my own software by using SeqAn as a library.	Very easy	Very easy	Very easy				Basic skills, few experience	Basic skills, few experience	Basic skills, few experience						FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	6	 	 	Basic skills, few experience	No experience	 	 	Ordinary experience	No experience	No experience	Basic skills, few experience	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Yes, with slightly to no more additional time	Yes, but only with a significant amount of more time	 	 	Yes, but only with a significant amount of more time	Yes, but only with a significant amount of more time	Yes, but only with a significant amount of more time	No	 	 	 	 	 	Above average	Average	 	 	Average	Average	Average	Hardly	 	 	 							Good speed			Nice overview over new functionality													Would have been nice to see more of the node generation								 	 	 	 		 	 			 	 	 		Physik	Diplom		Unix Makefiles	Unix Makefiles	Linux	Linux 3.2.0
jwzrwxacu8eqtx78				Expert: regular and correct use of language specific paradigms	Beginner: few experience	Advanced: average experience	No experience	Expert: regular and correct use of language specific paradigms	Yes		TBB Lib	I develop my own software by using SeqAn as a library.	Very easy	Very easy	Very easy	Very easy			Ordinary experience	Basic skills, few experience	Basic skills, few experience						FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	5	 	 	Much experience	Basic skills, few experience	 	 	 	Basic skills, few experience	 	 	 	Ordinary experience	Much experience	 	 	Possible incorporation in current development.	Working on RNA-seq data	 	 	 	 	 	 	 	Often working on program evaluation.	Working on shifting program sources from command line parsers to argparser	 	 	Yes, with slightly to no more additional time	Yes, but only with a significant amount of more time	 	 	 	Yes, but only with a significant amount of more time	 	 	 	Yes, with slightly to no more additional time	Yes, with slightly to no more additional time	 	 	Extraordinary	Extraordinary	 	 	 	Above average	 	 	 	Above average	Above average			Nice format recognition and zip functionality.	Application real-life																					While using Mason I got an exception, since I wanted to generate reads from source seq. with same length. Eventually one could allow it and just lg that no deletions are generared in this scenario.					high knowledge of library needed	Very good	Very good	Above averagely helpful	Good	Good	I’m currently working on a project where I think SeqAn does the job	 	Yes	Alignment related	As a library (include SeqAn headers in own program)	 	Yes	Speed	Bioinformatics	Master		Unix Makefiles	Unix Makefiles	Mac OS	Mac OS 12.1.0
kpj5j5z3lqazq2d2				Expert: regular and correct use of language specific paradigms	Advanced: average experience	Advanced: average experience	No experience	Advanced: average experience	Yes		SAMTools	I develop my own SeqAn apps / command line programs.	Very easy	Very easy	Very easy				Ordinary experience	Ordinary experience	Ordinary experience						FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	2	 	 	 	Ordinary experience	 	 	 	 	 	 	 	 	Much experience	 			 	 	 	 	 	 	 	 	 	To learn about the new features that come with the new parser	 	 	 	Yes, with slightly to no more additional time	 	 	 	 	 	 	 	 	 	 	 	 	Above average	 	 	 	 	 	 	 	 	 				I was entirely unfamiliar with the commonly raised data (types) used in quantitative Sequence methods, learned something.									Very good slides, easy to comprehend examples				Too less time. It is required to copy+paste the code, the time is too short to figure out your own approach.												The implemented algorithms	inconsistencies, lack of documentation	Good	Good	Above averagely helpful	Good	Good	I’m currently working on a project where I’m expected to use SeqAn	 	Yes	Alignment module, I/O, Filtering	As a framework (create apps)	 	Yes	Because it fits to the problems it needs to solve	Biotechnology	Master		Unix Makefiles	Unix Makefiles	Mac OS	Mac OS 12.1.0
