
 Query ID =seq1 $seq1$	 MasterSequence ID =seq1	 AlignmentScore =8
 Query ID =seq2 $seq2$	 MasterSequence ID =seq2	 AlignmentScore =8
 Query ID =seq3 $seq3$	 MasterSequence ID =seq3	 AlignmentScore =8
 Query ID =seq4 $seq4$	 MasterSequence ID =seq4	 AlignmentScore =8
 Query ID =seq5 $seq1$	 MasterSequence ID =seq1	 AlignmentScore =5
 Query ID =seq6 $seq2$	 MasterSequence ID =seq2	 AlignmentScore =5
 Query ID =seq7 $seq3$	 MasterSequence ID =seq3	 AlignmentScore =5
 Query ID =seq8 $seq4$	 MasterSequence ID =seq4	 AlignmentScore =5
 Query ID =seq9 $seq9$	 MasterSequence ID =seq9	 AlignmentScore =8
 Query ID =seq10 $seq9$	 MasterSequence ID =seq9	 AlignmentScore =0
 Query ID =seq11 $seq3$	 MasterSequence ID =seq9	 AlignmentScore =0
 Query ID =seq12 $seq4$	 MasterSequence ID =seq9	 AlignmentScore =0
