read_id	prot_id	prot_begin	prot_end	frame
0	9192	33	65	1
1	4598	33	66	2
2	7714	783	816	2
3	6613	48	81	2
4	6395	311	343	1
5	273	580	613	2
6	2676	793	826	0
7	2570	246	278	1
8	761	98	131	0
9	8455	932	965	2
10	6979	734	766	1
11	5562	577	609	1
12	3610	93	126	0
13	7819	630	663	2
14	2850	275	307	1
15	9456	228	261	0
16	6401	325	357	1
17	58	188	220	1
18	7844	259	291	1
19	447	294	327	2
20	4894	12	45	0
21	1152	65	98	0
22	7008	329	362	2
23	3707	163	195	1
24	1579	140	172	1
25	5108	524	557	2
26	9104	531	564	0
27	5537	490	523	2
28	3457	385	418	2
29	6950	829	861	1
30	7615	303	336	0
31	8641	2	34	1
32	5818	454	486	1
33	7330	557	590	0
34	3054	42	75	2
35	2944	82	115	2
36	2921	70	102	1
37	4626	13	45	1
38	9400	257	289	1
39	9094	254	287	0
40	9081	19	52	0
41	7404	14	46	1
42	7237	357	390	0
43	6233	266	299	2
44	1580	12	45	2
45	7394	232	265	2
46	2551	74	107	0
47	6799	725	757	1
48	9059	187	219	1
49	675	19	52	0
50	7702	87	120	2
51	3516	57	89	1
52	357	528	560	1
53	6984	670	702	1
54	7315	175	208	2
55	9575	315	347	1
56	629	54	86	1
57	2231	44	76	1
58	1579	176	209	0
59	6362	153	186	2
60	4426	517	549	1
61	37	809	842	0
62	4342	629	661	1
63	8966	255	288	2
64	5693	11	43	1
65	4249	24	57	0
66	4208	11	44	2
67	2194	32	65	0
68	1838	488	521	2
69	9248	42	75	2
70	5719	280	313	2
71	7362	209	242	0
72	8294	173	205	1
73	3684	643	676	0
74	4860	397	429	1
75	8001	488	521	2
76	7497	81	113	1
77	3981	124	157	0
78	9619	85	117	1
79	7585	42	74	1
80	8894	138	170	1
81	3818	83	116	2
82	4019	82	115	2
83	4675	492	525	2
84	765	268	300	1
85	1659	22	55	0
86	7838	449	481	1
87	4883	76	108	1
88	4158	8	41	0
89	4264	167	199	1
90	3421	296	329	0
91	765	267	300	0
92	156	570	603	2
93	5815	34	67	0
94	5621	55	88	0
95	2395	77	110	0
96	2430	451	483	1
97	6074	221	254	0
98	9480	27	59	1
99	840	328	360	1
100	9967	430	463	2
101	7487	823	856	2
102	7962	219	252	0
103	2601	304	336	1
104	9046	357	390	0
105	7352	15	47	1
106	4269	509	541	1
107	1178	363	396	2
108	9809	207	239	1
109	6877	186	218	1
110	5350	246	279	0
111	8610	113	145	1
112	4130	154	187	0
113	252	48	81	2
114	9683	264	297	0
115	4234	800	833	2
116	3326	210	243	2
117	6758	16	48	1
118	2084	156	188	1
119	461	335	368	2
120	3040	86	119	0
121	68	65	98	0
122	8600	243	276	0
123	2173	143	176	0
124	1784	85	118	0
125	5620	49	81	1
126	3835	218	251	2
127	2976	613	646	2
128	8696	512	544	1
129	7985	902	935	0
130	3605	202	235	2
131	9043	141	174	0
132	8488	411	444	2
